"autor_sobrenome","autor_nome","revista","titulo","ano","resumo","chave","ref_sobrenome","ref_nome","ref_ano","ref_revista","ref_titulo"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","EPSTEIN|KNIGHT","Lee|Jack","1998","The Choices Justice Make","NA"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","FALLETI","Tulia G.","2010","Decentralization and Subnational Politics in Latin America","NA"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","FERNÁNDEZ","Eliseo A.","1996","Anuario juridico de La Rioja","Los principales periodos de desarrollo del Estado autonómico"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","FOX|STEPHENSON","Justin|Matthew C.","2011","American Political Science Review","Judicial Review as a Response to Political Posturing"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","GAVARA DE CARA","Juan Carlos","2011","Teoría y realidad constitucional","Los efectos de la STC 31/2010 del estatuto de Autonomía de Cataluña: Las implicaciones para su normativa de desarrollo y los estatutos de otras Comunidades Autónomas"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","GINSBURG","Tom","2003","Judicial Review in New Democracies: Constitutional Courts in Asian Cases","NA"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","GUARNERI|PEDERZOLI","Carlo|Patricia","2002","From Democracy to Juristocracy?: The Power of Judges: A Comparative Study of Courts and Democracy","NA"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","GUERRA","Luis López","2000","Las Sentencias básicas del Tribunal Constitucional","NA"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","GRABER","Mark A.","2005","Annual Review of Political Science","Constructing Judicial Review"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","GUILLÉN LOPEZ","Enrique Guillen","2008","Loyola of Los Angeles Law Review","Judicial Review in Spain: The Constitutional Court"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","HALBERSTAM|Whittington|Kelemen|Caldeira","Daniel|Keith E.|R. Daniel|Gregory A.","2008","The Oxford Handbook of Law and Politics","Comparative Federalism and the Role of the Judiciary"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","HEYWOOD","Paul","1995","The Government and Politics of Spain","NA"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","HIRSCHL","Ran","2007","Towards Juristocracy: The Origins and Consequences of New Constitucionalism","NA"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","HIRSCHL|Whittington|Kelemen|Caldeira","Ran|Keith E.|R. Daniel|Gregory A.","2008","The Oxford Handbook of Law and Politics","Judicialization of Politics"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","KAPISZEWSKI","Diana","2011","Law & Society Review","Tactical Balancing: High Court Decision Making on Politically Crucial Cases"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","LEONI|RAMOS","Eduardo L|Antonio P.","2006","Judicial Preferences and Judicial Independence in New Democracies: The Case of the Brazilian Supreme Court","NA"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","LÓPEZ GUERRA","Luis","2008","Las sentencias básicas del Tribunal Constitucional","NA"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","MACIEL|KOERNER","Débora Alves|Andrei","2002","Lua Nova","Sentidos da Judicialização da Política: Duas Análises"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","MAUÉS","Antonio Gomes M.","2005","Direito constitucional contemporâneo: estudos em homenagem ao professor Paulo Bonavides","O Federalismo brasileiro na jurisprudência do Supremo Tribunal Federal (1988-2003)"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization",,,"2006","Conflictividad entre el estado y las comunidades autónomas","NA"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","NIELSON|SHUGART","Daniel L.|Matthew S.","1999","Comparative Political Studies","Constitutional Change in Colombia: Policy Adjustment Through Institutional Reform"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","OLIVEIRA","Vanessa E.","2005","Dados - Revista de Ciências Sociais","Judiciário e Privatizações no Brasil: Existe uma Judicialização da Política?"
"Vale","Helder Ferreira do","Brazilian Political Science Review","The judicialization of territorial politics in Brazil, Colombia and Spain","2013","This article explains how judicial review influences intergovernmental political dynamics in Brazil, Colombia and Spain. The argument is developed in light of two questions: how supreme courts have established themselves as pivotal institutions for settling vertical intergovernmental disputes, and how national and subnational politicians use judicial review in order to enhance their own interests. A comparison between the judicial review processes in federal Brazil, quasi-federal Spain, and unitary Colombia provides an answer to these questions. Accounting for the differences in the territorial organization and systems of government among these countries, the article assesses the patterns of judicial review originating from the subnational level. Findings suggest that courts affect the interaction between national and subnational politicians in the three country-cases, but through different patterns of judicialization of territorial politics.","judicial review,constitutional change,intergovernmental relations,territorial politics,decentralization","OPESKIN","Brian R.","2001","International Social Science Journal","Mechanisms for intergovernmental relations"
